ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-04-30;;01;F7D11;M52AZ1;20100125;6;4;AF;;7;2168;2900;2900;4810;1985;1815;02;2902;136;4;true;false;Kia;CARNIVAL Monikäyttöajoneuvo (AF) 4ov 2902cm3;1;5;CARNIVAL;05;e4*01/116*0112*01;02;091;199;154879;009;KNEMB75428;3202694
M1;2010-01-20;;01;F7D21;M61BZ1;20100120;Y;4;AF;;7;1657;2255;;4545;1820;1720;02;1991;103;4;true;;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;405;165;156100;534;KNEFG52428;3202706
M1;2010-04-22;;01;F5D21;M61BZ1;20100125;8;4;AF;1;5;1631;2155;2155;4545;1820;1720;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;734;165;143158;254;KNEFG52428;3202708
M1;2010-12-01;;01;F5D21;M61BZ1;20100125;Y;4;AF;;5;1631;2155;2155;4545;1820;1720;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;273;165;174108;958;KNEFG52428;3202710
M1;2010-10-28;;01;F5D21;M61BZ1;20100125;8;4;AF;1;5;1631;2155;2155;4545;1820;1720;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;560;165;187011;163;KNEFG52428;3202714
M1;2010-02-26;;01;F5D21;M61BZ1;20100125;Y;4;AF;;5;1631;2155;2155;4545;1820;1650;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;604;165;156124;339;KNEFG52428;3202715
M1;2010-10-11;;01;F7D21;M61BZ1;20100618;Y;4;AF;;7;1657;2255;2255;4545;1820;1720;02;1991;103;4;true;false;Kia;CARENS Monikäyttöajoneuvo (AF) 4ov 1991cm3;1;6;CARENS;05;e4*01/116*0114*03;02;092;165;96039;014;KNEFG52428;3202717
M1;2010-01-29;;01;4336C0;JZAAA200;20100129;X;2;AD;;2;845;1050;;2727;1583;1565;01;999;62;3;true;;Smart;FORTWO COUPE Coupé (AD) 2ov 999cm3 A;2;5;FORTWO COUPE;05;e1*01/116*0413*05;01;536;116;68237;371;WME4513321;3202830
M1;2010-01-22;;01;4436C0;JZAAA200;20100122;X;2;AE;;2;875;1050;;2727;1583;1565;01;999;62;3;true;;Smart;FORTWO CABRIO Avoauto (AE) 2ov 999cm3 A;2;5;FORTWO CABRIO;05;e1*01/116*0413*05;01;853;116;28850;202;WME4514321;3202831
M1;2010-01-28;;01;4C9HX*;4C9HXC/1;20100128;0;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;301;120;129507;613;VF34C9HXC5;3202950
M1;2010-02-03;;01;1;2;20100203;8;4;AA;;5;1610;2030;;4730;1850;1440;02;2199;110;4;true;;Honda;ACCORD Sedan (AA) 4ov 2199cm3;1;6;ACCORD;05;e6*01/116*0115*01;02;272;150;167154;674;JHMCU35609;3204564
M1;2010-01-15;;01;12D;6;20100115;8;4;AA;;5;1500;2035;2035;4755;1795;1440;02;1998;103;4;true;false;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;153;147;120743;551;JMZGH12D60;3204589
M1;2010-01-22;;01;12D;6;20100122;2;4;AA;;5;1500;2035;;4755;1795;1440;02;1998;103;4;true;;Mazda;6 Sedan (AA) 4ov 1998cm3;1;6;6;05;e1*01/116*0448*02;02;091;147;170778;004;JMZGH12D60;3204590
