ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2017-01-17 19:18:02,2017-01-17 19:23:00,5,.93,1,N,237,236,2,5.5,1,0.5,0,0,0.3,7.3
1,2017-01-17 19:47:05,2017-01-17 19:58:48,1,1.80,1,N,163,50,1,10,1,0.5,2.35,0,0.3,14.15
1,2017-01-17 20:15:09,2017-01-17 20:25:19,2,1.10,1,N,162,163,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2017-01-17 20:45:22,2017-01-17 20:50:37,1,.91,1,N,162,164,1,5.5,0.5,0.5,2.04,0,0.3,8.84
1,2017-01-17 20:55:42,2017-01-17 21:03:02,1,1.50,1,N,142,238,2,7.5,0.5,0.5,0,0,0.3,8.8
2,2017-01-17 21:11:53,2017-01-17 21:22:57,5,1.94,1,N,249,100,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2017-01-17 21:29:12,2017-01-17 22:05:23,1,20.42,2,N,132,161,2,52,0,0.5,0,5.54,0.3,58.34
1,2017-01-17 21:56:30,2017-01-17 21:56:42,1,5.40,5,N,230,230,3,0,0,0,0,0,0.3,0.3
2,2017-01-05 16:42:24,2017-01-05 17:23:56,1,18.81,2,N,132,263,1,52,4.5,0.5,12.57,5.54,0.3,75.41
1,2017-01-17 22:51:38,2017-01-17 23:01:48,1,2.20,1,N,234,163,1,9.5,0.5,0.5,2.15,0,0.3,12.95
2,2017-01-05 16:59:19,2017-01-05 17:11:46,2,1.61,1,N,48,164,1,9.5,1,0.5,2.26,0,0.3,13.56
1,2017-01-18 00:17:35,2017-01-18 00:27:50,1,2.50,1,N,114,230,2,10,0.5,0.5,0,0,0.3,11.3
2,2017-01-05 17:15:49,2017-01-05 17:23:28,3,.82,1,N,114,114,1,6.5,1,0.5,2.08,0,0.3,10.38
2,2017-01-18 04:10:47,2017-01-18 04:18:38,5,.93,1,N,144,144,2,6,0.5,0.5,0,0,0.3,7.3
